Day Number : 1
Char 0 name : Steve
Char 0 stamina : 100
Char 0 hp : 100
Char 0 mstate : 100
Char 0 hunger : 100
Char 0 thirst : 100
Char 1 name : Larry
Char 1 stamina : 100
Char 1 hp : 100
Char 1 mstate : 100
Char 1 hunger : 100
Char 1 thirst : 100
Char 2 name : Joanne
Char 2 stamina : 100
Char 2 hp : 100
Char 2 mstate : 100
Char 2 hunger : 100
Char 2 thirst : 100
Resource 0 name : Food
Resource 0 amount : 3
Resource 0 durability : 100
Resource 1 name : Water
Resource 1 amount : 3
Resource 1 durability : 100
Resource 2 name : Medkit
Resource 2 amount : 1
Resource 2 durability : 100
Item 3 name : Pistol
Item 3 durability : 100
Item 4 name : Map
Item 4 durability : 100
